"state","communityname","PctLess9thGrade","PctNotHSGrad","PctBSorMore"
8,"Lakewoodcity",0.1,0.18,0.48
53,"Tukwilacity",0.14,0.24,0.3
24,"Aberdeentown",0.27,0.43,0.19
34,"Willingborotownship",0.09,0.25,0.31
42,"Bethlehemtownship",0.25,0.3,0.33
6,"SouthPasadenacity",0.13,0.12,0.8
44,"Lincolntown",0.29,0.41,0.36
6,"Selmacity",0.96,0.82,0.12
21,"Hendersoncity",0.52,0.59,0.17
29,"Claytoncity",0.04,0.03,1
6,"DalyCitycity",0.33,0.36,0.38
36,"RockvilleCentrevillage",0.18,0.19,0.72
25,"Needhamtown",0.07,0.07,0.89
55,"GrandChutetown",0.2,0.22,0.42
6,"DanaPointcity",0.11,0.14,0.58
19,"FortDodgecity",0.3,0.37,0.24
36,"Albanycity",0.3,0.38,0.47
34,"Denvilletownship",0.1,0.18,0.58
18,"Valparaisocity",0.16,0.24,0.45
42,"Rostravertownship",0.27,0.38,0.19
6,"Modestocity",0.34,0.43,0.24
12,"Jacksonvillecity",0.25,0.39,0.28
41,"KlamathFallscity",0.31,0.42,0.24
19,"SiouxCitycity",0.29,0.37,0.27
6,"Delanocity",1,1,0.1
8,"Goldencity",0.11,0.18,0.54
6,"Gardenacity",0.35,0.46,0.25
39,"Perrytownship",0.3,0.45,0.16
54,"Beckleycity",0.46,0.49,0.3
9,"EastHamptontown",0.18,0.27,0.44
1,"Cullmancity",0.62,0.61,0.26
19,"DesMoinescity",0.19,0.31,0.29
1,"Auburncity",0.18,0.18,0.82
51,"Lynchburgcity",0.47,0.53,0.34
6,"FosterCitycity",0.05,0.05,0.77
18,"Evansvillecity",0.38,0.48,0.22
6,"LaVernecity",0.16,0.25,0.43
41,"Woodburncity",0.69,0.64,0.12
40,"Altuscity",0.36,0.42,0.27
34,"Plainsborotownship",0.04,0.03,0.98
34,"LittleEggHarbortownship",0.21,0.44,0.15
44,"EastProvidencecity",0.49,0.58,0.24
1,"Fairfieldcity",0.39,0.5,0.26
6,"Carlsbadcity",0.14,0.15,0.58
34,"Paramusborough",0.21,0.23,0.5
8,"FortCollinscity",0.12,0.12,0.7
34,"Winslowtownship",0.27,0.41,0.27
35,"Artesiacity",0.65,0.62,0.18
8,"Littletoncity",0.08,0.15,0.58
33,"Claremontcity",0.41,0.57,0.17
18,"Kokomocity",0.32,0.45,0.19
6,"Riversidecity",0.3,0.38,0.3
34,"Pennsaukentownship",0.27,0.43,0.2
34,"Medfordtownship",0.11,0.14,0.67
39,"Franklincity",0.63,0.7,0.08
48,"MineralWellscity",0.53,0.66,0.16
6,"Concordcity",0.12,0.18,0.42
53,"Centraliacity",0.32,0.46,0.15
1,"Huntsvillecity",0.22,0.3,0.54
34,"Manvilleborough",0.44,0.48,0.13
34,"Hawthorneborough",0.36,0.39,0.35
51,"Stauntoncity",0.47,0.49,0.27
41,"LaGrandecity",0.22,0.32,0.3
4,"CasaGrandecity",0.51,0.48,0.21
6,"Banningcity",0.45,0.65,0.14
6,"ManhattanBeachcity",0.02,0.04,0.93
37,"Gastoniacity",0.59,0.66,0.24
34,"Mahwahtownship",0.15,0.15,0.71
34,"PerthAmboycity",1,0.89,0.11
36,"Oneidacity",0.24,0.4,0.24
29,"Chesterfieldcity",0.1,0.09,0.88
6,"Petalumacity",0.15,0.22,0.39
19,"CedarFallscity",0.14,0.18,0.51
9,"Guilfordtown",0.07,0.12,0.71
9,"Meridentown",0.37,0.47,0.24
25,"Yarmouthtown",0.08,0.22,0.35
40,"DelCitycity",0.18,0.39,0.14
48,"PortArthurcity",0.57,0.61,0.14
8,"Pueblocity",0.42,0.46,0.21
8,"Auroracity",0.08,0.14,0.42
36,"Yonkerscity",0.38,0.45,0.34
49,"Ogdencity",0.26,0.43,0.25
48,"Vernoncity",0.69,0.69,0.18
39,"Polandtownship",0.1,0.19,0.43
46,"Vermillioncity",0.23,0.21,0.72
29,"Carthagecity",0.45,0.53,0.18
4,"LakeHavasuCitycity",0.17,0.35,0.2
6,"SealBeachcity",0.14,0.22,0.51
41,"Lebanoncity",0.32,0.48,0.13
6,"Yucaipacity",0.27,0.45,0.18
12,"KeyWestcity",0.32,0.34,0.33
28,"Clintoncity",0.15,0.21,0.62
44,"EastGreenwichtown",0.09,0.15,0.72
41,"Gladstonecity",0.13,0.23,0.3
6,"RohnertParkcity",0.12,0.19,0.34
25,"Maldencity",0.24,0.37,0.31
6,"Eurekacity",0.23,0.35,0.28
19,"Amescity",0.07,0.05,0.89
9,"Wolcotttown",0.21,0.36,0.24
33,"Manchestercity",0.4,0.43,0.3
40,"Lawtoncity",0.19,0.31,0.29
34,"Wallingtonborough",0.51,0.53,0.24
12,"Hollywoodcity",0.29,0.47,0.24
48,"Amarillocity",0.29,0.41,0.27
46,"Yanktoncity",0.46,0.35,0.32
22,"Bogalusacity",0.61,0.68,0.14
6,"SanLuisObispocity",0.13,0.17,0.56
42,"WestGoshentownship",0.13,0.16,0.63
48,"ElCampocity",0.78,0.72,0.18
4,"Tucsoncity",0.32,0.36,0.32
12,"BoyntonBeachcity",0.33,0.46,0.25
42,"WestManchestertownship",0.36,0.42,0.22
25,"Eastontown",0.09,0.14,0.52
6,"SantaClaracity",0.22,0.27,0.49
6,"Marysvillecity",0.31,0.41,0.17
34,"WestWindsortownship",0.07,0.07,1
6,"Inglewoodcity",0.59,0.6,0.23
42,"Marpletownship",0.19,0.22,0.48
12,"OrmondBeachcity",0.16,0.26,0.42
6,"SantaMonicacity",0.19,0.19,0.71
12,"Davietown",0.15,0.32,0.32
34,"ScotchPlainstownship",0.15,0.19,0.68
39,"Delhitownship",0.19,0.29,0.33
45,"Mauldincity",0.13,0.18,0.45
33,"Keenecity",0.21,0.27,0.46
39,"Oregoncity",0.28,0.41,0.16
42,"LowerPaxtontownship",0.1,0.2,0.43
6,"LomaLindacity",0.26,0.27,0.69
6,"Watsonvillecity",1,0.83,0.15
39,"Dovercity",0.29,0.37,0.21
28,"Natchezcity",0.54,0.54,0.29
25,"Belchertowntown",0.29,0.33,0.46
16,"Caldwellcity",0.52,0.58,0.19
6,"LaMiradacity",0.18,0.31,0.27
34,"Cliftoncity",0.42,0.47,0.32
34,"NewMilfordborough",0.24,0.31,0.41
25,"Wilbrahamtown",0.1,0.19,0.56
6,"Campbellcity",0.11,0.17,0.5
47,"UnionCitycity",0.51,0.61,0.17
6,"Orindacity",0.01,0.02,1
6,"Folsomcity",0.15,0.26,0.38
33,"Salemtown",0.19,0.29,0.32
5,"WestMemphiscity",0.55,0.66,0.16
34,"Vernontownship",0.11,0.15,0.36
6,"Cloviscity",0.23,0.3,0.31
25,"Lowellcity",0.57,0.6,0.24
22,"BatonRougecity",0.3,0.39,0.45
42,"Pottsvillecity",0.39,0.53,0.18
12,"Bartowcity",0.46,0.58,0.18
12,"PlantCitycity",0.49,0.56,0.2
48,"SanAngelocity",0.51,0.5,0.27
37,"Fayettevillecity",0.29,0.35,0.38
39,"Wadsworthcity",0.22,0.34,0.36
44,"Cumberlandtown",0.37,0.43,0.35
12,"LakeCitycity",0.46,0.58,0.22
34,"Passaiccity",0.81,0.79,0.21
6,"Lafayettecity",0.04,0.04,0.97
37,"Hendersoncity",0.75,0.78,0.17
12,"Clearwatercity",0.21,0.33,0.32
40,"Owassocity",0.19,0.26,0.22
29,"Rollacity",0.41,0.39,0.45
9,"Branfordtown",0.16,0.22,0.53
25,"Braintreetown",0.12,0.19,0.37
25,"Dedhamtown",0.18,0.26,0.43
34,"Springfieldtownship",0.21,0.25,0.57
6,"SanDimascity",0.14,0.24,0.43
51,"Blacksburgtown",0.11,0.11,1
48,"Weatherfordcity",0.39,0.51,0.24
37,"Salisburycity",0.4,0.53,0.32
39,"Newarkcity",0.3,0.47,0.16
54,"Huntingtoncity",0.41,0.48,0.33
42,"Stroudtownship",0.23,0.31,0.35
18,"Wabashcity",0.37,0.56,0.14
48,"Edinburgcity",1,0.78,0.3
25,"Lynncity",0.34,0.46,0.22
34,"Woodbridgetownship",0.31,0.38,0.31
42,"Hampdentownship",0.1,0.14,0.51
34,"JerseyCitycity",0.48,0.6,0.34
53,"PortAngelescity",0.2,0.34,0.22
40,"TheVillagecity",0.08,0.18,0.49
39,"Sanduskycity",0.3,0.5,0.13
35,"SilverCitytown",0.47,0.47,0.31
48,"Taylorcity",0.87,0.71,0.17
34,"BerkeleyHeightstownship",0.2,0.15,0.79
9,"Manchestertown",0.2,0.27,0.4
37,"Greensborocity",0.26,0.35,0.48
12,"CoralSpringscity",0.11,0.16,0.51
18,"Scherervilletown",0.16,0.2,0.4
42,"NetherProvidencetownship",0.17,0.18,0.71
39,"NorthRidgevillecity",0.16,0.35,0.21
34,"Dovertown",0.52,0.56,0.21
25,"Marlboroughcity",0.19,0.28,0.42
39,"Athenscity",0.13,0.15,0.94
48,"Wataugacity",0.09,0.24,0.23
49,"NorthOgdencity",0.03,0.08,0.5
25,"NorthReadingtown",0.09,0.21,0.44
50,"Colchestertown",0.16,0.15,0.45
13,"Savannahcity",0.39,0.52,0.25
6,"Reddingcity",0.2,0.32,0.25
37,"Lexingtoncity",0.64,0.71,0.18
12,"NorthLauderdalecity",0.17,0.28,0.23
34,"LittleFallstownship",0.21,0.29,0.44
18,"LakeStationcity",0.4,0.65,0.04
6,"Artesiacity",0.81,0.77,0.2
42,"Ephrataborough",0.34,0.52,0.19
41,"Eugenecity",0.13,0.17,0.56
6,"Torrancecity",0.13,0.19,0.5
39,"VanWertcity",0.25,0.4,0.18
25,"Melrosecity",0.09,0.19,0.51
45,"Clemsoncity",0.18,0.18,0.94
24,"Hyattsvillecity",0.26,0.4,0.39
54,"Viennacity",0.23,0.3,0.33
12,"OaklandParkcity",0.25,0.37,0.27
34,"Rutherfordborough",0.24,0.28,0.52
48,"Mansfieldcity",0.21,0.3,0.31
6,"Lodicity",0.47,0.48,0.21
48,"RoundRockcity",0.23,0.24,0.35
49,"SpanishForkcity",0.1,0.24,0.19
51,"Danvillecity",0.71,0.75,0.18
23,"SouthPortlandcity",0.14,0.23,0.34
55,"Watertowncity",0.54,0.49,0.21
36,"Peekskillcity",0.28,0.4,0.35
42,"Lancastercity",0.52,0.68,0.2
39,"Amherstcity",0.21,0.35,0.25
55,"FondduLaccity",0.36,0.37,0.21
1,"Sheffieldcity",0.52,0.6,0.2
48,"Pariscity",0.52,0.61,0.22
44,"Pawtucketcity",0.57,0.68,0.19
45,"Newberrytown",0.64,0.69,0.22
13,"Decaturcity",0.27,0.34,0.66
19,"FortMadisoncity",0.33,0.35,0.17
42,"Logantownship",0.29,0.39,0.14
53,"Wenatcheecity",0.34,0.43,0.26
9,"NewHaventown",0.41,0.5,0.43
25,"Dracuttown",0.29,0.39,0.25
48,"Enniscity",0.64,0.68,0.16
6,"Marinacity",0.2,0.26,0.26
55,"Caledoniatown",0.19,0.29,0.33
25,"Westfieldcity",0.27,0.36,0.3
53,"Auburncity",0.18,0.3,0.19
25,"Andovertown",0.1,0.12,0.86
42,"Lebanoncity",0.4,0.65,0.11
6,"Visaliacity",0.42,0.42,0.31
6,"ElMontecity",1,1,0.07
39,"Xeniacity",0.25,0.43,0.17
6,"Napacity",0.27,0.32,0.3
6,"Bellflowercity",0.3,0.48,0.18
12,"NewPortRicheycity",0.35,0.57,0.11
45,"Spartanburgcity",0.5,0.6,0.37
55,"LaCrossecity",0.33,0.32,0.34
37,"Charlottecity",0.2,0.32,0.45
12,"Lakelandcity",0.32,0.45,0.3
18,"Carmelcity",0.04,0.05,0.84
34,"Somervilleborough",0.32,0.37,0.39
42,"Hamptontownship",0.15,0.2,0.58
45,"NorthCharlestoncity",0.28,0.45,0.17
29,"PoplarBluffcity",0.76,0.74,0.17
42,"EastLampetertownship",0.44,0.47,0.29
54,"Clarksburgcity",0.37,0.5,0.21
48,"Pecoscity",1,0.94,0.1
18,"LaPortecity",0.33,0.48,0.18
12,"WinterHavencity",0.37,0.5,0.27
51,"Richmondcity",0.42,0.56,0.38
9,"Cheshiretown",0.13,0.17,0.7
44,"Coventrytown",0.31,0.44,0.21
47,"OakRidgecity",0.2,0.23,0.57
1,"Montgomerycity",0.3,0.41,0.39
29,"Overlandcity",0.44,0.52,0.16
29,"Maryvillecity",0.31,0.27,0.42
25,"Greenfieldtown",0.21,0.33,0.28
25,"Stoughtontown",0.26,0.29,0.36
47,"Kingsportcity",0.58,0.56,0.32
12,"WiltonManorscity",0.19,0.33,0.24
18,"MichiganCitycity",0.33,0.54,0.13
25,"EastBridgewatertown",0.11,0.27,0.25
6,"Pittsburgcity",0.36,0.4,0.22
1,"PhenixCitycity",0.64,0.72,0.15
9,"Stratfordtown",0.31,0.38,0.33
9,"Plainfieldtown",0.43,0.54,0.1
38,"Bismarckcity",0.37,0.27,0.42
48,"Stephenvillecity",0.3,0.4,0.44
25,"Dennistown",0.07,0.18,0.4
42,"Dunmoreborough",0.33,0.45,0.29
8,"Englewoodcity",0.19,0.33,0.3
34,"Carteretborough",0.45,0.53,0.13
48,"LaMarquecity",0.33,0.46,0.18
34,"LongBranchcity",0.37,0.49,0.31
33,"Bedfordtown",0.16,0.15,0.7
48,"Greenvillecity",0.4,0.54,0.29
25,"Westporttown",0.53,0.54,0.29
34,"Lowertownship",0.35,0.61,0.13
51,"Williamsburgcity",0.24,0.26,0.7
42,"UpperAllentownship",0.15,0.16,0.53
42,"Allentowncity",0.4,0.53,0.23
39,"Libertytownship",0.25,0.4,0.27
34,"Sayrevilleborough",0.3,0.37,0.26
6,"LongBeachcity",0.39,0.42,0.37
34,"Montvilletownship",0.14,0.18,0.62
6,"Fillmorecity",0.88,0.77,0.12
53,"Vancouvercity",0.25,0.33,0.23
39,"Delawarecity",0.22,0.34,0.32
1,"FortPaynecity",0.62,0.72,0.16
1,"Northportcity",0.36,0.46,0.37
13,"Daltoncity",0.71,0.67,0.31
40,"Bethanycity",0.17,0.35,0.31
6,"BeverlyHillscity",0.12,0.16,0.77
48,"Baytowncity",0.44,0.5,0.22
39,"Zanesvillecity",0.38,0.67,0.13
34,"MountLaureltownship",0.09,0.15,0.6
25,"Belmonttown",0.1,0.12,0.9
29,"Arnoldcity",0.45,0.49,0.13
34,"Gloucestertownship",0.19,0.31,0.29
34,"Bayonnecity",0.39,0.52,0.25
39,"Cantoncity",0.36,0.58,0.14
34,"NorthPlainfieldborough",0.26,0.27,0.45
36,"NiagaraFallscity",0.4,0.56,0.14
37,"Monroecity",0.5,0.61,0.22
6,"Sangercity",1,0.91,0.09
39,"Brooklyncity",0.27,0.51,0.11
6,"Ukiahcity",0.26,0.4,0.21
21,"Georgetowncity",0.54,0.56,0.21
40,"Duncancity",0.4,0.47,0.28
23,"Biddefordcity",0.66,0.58,0.15
48,"Killeencity",0.17,0.23,0.22
6,"Antiochcity",0.19,0.29,0.22
4,"Nogalescity",1,0.92,0.11
19,"Oskaloosacity",0.49,0.42,0.24
47,"Hendersonvillecity",0.18,0.27,0.33
34,"Glassboroborough",0.29,0.41,0.34
6,"SanGabrielcity",0.51,0.5,0.34
39,"HuberHeightscity",0.14,0.26,0.28
48,"Hurstcity",0.11,0.22,0.35
34,"Westfieldtown",0.13,0.13,0.88
34,"AtlanticCitycity",0.55,0.74,0.13
48,"Palestinecity",0.42,0.5,0.21
42,"Haverfordtownship",0.15,0.2,0.61
49,"Provocity",0.08,0.15,0.56
39,"Westervillecity",0.08,0.12,0.65
9,"WestHaventown",0.29,0.44,0.26
48,"Portlandcity",0.1,0.19,0.38
34,"Dovertownship",0.24,0.36,0.32
39,"Perkinstownship",0.31,0.39,0.25
25,"Harvardtown",0.02,0.02,0.69
36,"NorthTonawandacity",0.25,0.34,0.23
55,"Menashacity",0.3,0.36,0.17
55,"GreenBaycity",0.31,0.32,0.26
53,"Seattlecity",0.17,0.21,0.62
8,"Greeleycity",0.41,0.4,0.4
34,"HasbrouckHeightsborough",0.21,0.34,0.35
53,"Pullmancity",0.04,0.02,1
9,"Cromwelltown",0.19,0.22,0.51
39,"Woostercity",0.22,0.35,0.38
46,"Aberdeencity",0.49,0.38,0.36
39,"Madisontownship",0.16,0.37,0.17
49,"Oremcity",0.08,0.15,0.49
36,"Genevacity",0.33,0.42,0.27
25,"Peabodycity",0.31,0.35,0.33
34,"SaddleBrooktownship",0.28,0.39,0.3
18,"Logansportcity",0.32,0.52,0.09
40,"Mustangcity",0.14,0.28,0.19
1,"Enterprisecity",0.35,0.39,0.37
29,"Fergusoncity",0.31,0.39,0.26
1,"Birminghamcity",0.36,0.53,0.25
41,"Newbergcity",0.26,0.35,0.29
41,"Keizercity",0.24,0.3,0.27
18,"SouthBendcity",0.31,0.48,0.29
42,"Eriecity",0.3,0.48,0.21
48,"Uvaldecity",1,0.87,0.18
48,"CollegeStationcity",0.08,0.08,0.97
29,"Florissantcity",0.27,0.33,0.25
48,"Texarkanacity",0.31,0.52,0.27
13,"Smyrnacity",0.19,0.25,0.55
55,"SunPrairiecity",0.19,0.26,0.33
33,"Hudsontown",0.17,0.24,0.39
13,"Gainesvillecity",0.47,0.55,0.4
6,"LaCanadaFlintridgecity",0.06,0.05,0.9
9,"Glastonburytown",0.11,0.14,0.76
49,"Tooelecity",0.11,0.38,0.16
34,"Englewoodcity",0.27,0.33,0.56
45,"NorthAugustacity",0.2,0.3,0.4
42,"Readingcity",0.55,0.74,0.12
47,"Colliervilletown",0.21,0.28,0.41
34,"Cranfordtownship",0.15,0.2,0.55
8,"Durangocity",0.18,0.26,0.5
34,"Elizabethcity",0.7,0.74,0.17
48,"Brenhamcity",0.7,0.63,0.24
6,"Chinocity",0.39,0.44,0.17
48,"Kilgorecity",0.41,0.46,0.27
6,"MorenoValleycity",0.19,0.3,0.22
39,"Sylvaniacity",0.09,0.12,0.61
6,"SanMarinocity",0.05,0.05,1
53,"OakHarborcity",0.14,0.19,0.27
37,"Jacksonvillecity",0.16,0.25,0.28
48,"Conroecity",0.46,0.52,0.28
48,"Colleyvillecity",0.07,0.09,0.75
16,"Lewistoncity",0.23,0.32,0.25
48,"Brownsvillecity",1,0.98,0.18
42,"Phoenixvilleborough",0.32,0.44,0.29
51,"Fredericksburgcity",0.39,0.45,0.42
12,"Hallandalecity",0.38,0.56,0.21
39,"Mansfieldcity",0.38,0.53,0.19
55,"Milwaukeecity",0.33,0.49,0.22
22,"Pinevillecity",0.43,0.48,0.3
48,"GalenaParkcity",0.88,0.82,0.03
6,"LosBanoscity",0.63,0.65,0.18
4,"Avondalecity",0.96,0.76,0.13
27,"ColumbiaHeightscity",0.26,0.35,0.19
8,"CommerceCitycity",0.47,0.7,0.03
37,"RockyMountcity",0.47,0.58,0.26
6,"MenloParkcity",0.17,0.15,0.9
12,"FortPiercecity",0.63,0.77,0.16
36,"Middletowncity",0.42,0.52,0.24
37,"Morgantoncity",0.62,0.61,0.29
24,"Baltimorecity",0.51,0.69,0.24
34,"Gallowaytownship",0.17,0.3,0.32
12,"Sebastiancity",0.24,0.46,0.14
18,"Greenfieldcity",0.32,0.42,0.19
34,"Fairviewborough",0.61,0.68,0.23
25,"Sandwichtown",0.05,0.11,0.54
48,"Borgercity",0.44,0.54,0.18
1,"Annistoncity",0.48,0.58,0.28
25,"Everettcity",0.32,0.47,0.16
34,"NorthArlingtonborough",0.37,0.46,0.25
21,"Covingtoncity",0.6,0.66,0.14
42,"Springtownship",0.16,0.24,0.44
48,"WhiteSettlementcity",0.31,0.51,0.09
42,"Cranberrytownship",0.06,0.14,0.47
45,"Andersoncity",0.63,0.66,0.26
48,"NewBraunfelscity",0.62,0.55,0.29
6,"Oceansidecity",0.25,0.31,0.29
44,"Westerlytown",0.29,0.42,0.32
6,"Sacramentocity",0.35,0.39,0.37
55,"BrownDeervillage",0.24,0.21,0.49
28,"Meridiancity",0.45,0.55,0.24
23,"Windhamtown",0.14,0.25,0.31
34,"WestPatersonborough",0.43,0.44,0.33
36,"Romecity",0.31,0.44,0.23
9,"RockyHilltown",0.18,0.24,0.51
6,"SouthSanFranciscodivision",0.25,0.3,0.38
8,"GrandJunctioncity",0.28,0.39,0.28
12,"Longwoodcity",0.18,0.29,0.33
47,"Columbiacity",0.54,0.58,0.21
5,"Paragouldcity",0.72,0.7,0.16
39,"Vandaliacity",0.26,0.33,0.25
48,"Galvestoncity",0.47,0.52,0.33
47,"Tullahomacity",0.48,0.45,0.34
1,"Ozarkcity",0.46,0.48,0.22
34,"Irvingtontownship",0.37,0.6,0.17
34,"Ridgewoodvillage",0.08,0.08,0.93
39,"Centervillecity",0.07,0.11,0.66
47,"Brownsvillecity",0.74,0.72,0.17
55,"Manitowoccity",0.44,0.44,0.22
37,"Kannapoliscity",0.7,0.73,0.1
18,"Richmondcity",0.36,0.56,0.19
48,"Wacocity",0.45,0.55,0.26
49,"Springvillecity",0.08,0.23,0.3
29,"Raytowncity",0.15,0.24,0.28
12,"Homesteadcity",0.79,0.79,0.12
51,"FrontRoyaltown",0.67,0.74,0.11
33,"Londonderrytown",0.07,0.12,0.54
13,"Covingtoncity",0.83,0.89,0.12
39,"Beavercreekcity",0.13,0.17,0.6
6,"Commercecity",1,1,0.07
25,"Plymouthtown",0.14,0.26,0.35
53,"Spokanecity",0.19,0.27,0.33
8,"CanonCitycity",0.39,0.43,0.2
34,"SouthOrangeVillagetownship",0.11,0.15,0.87
6,"Millbraecity",0.21,0.26,0.38
39,"GarfieldHeightscity",0.27,0.49,0.12
34,"Bellmawrborough",0.36,0.56,0.11
53,"Everettcity",0.2,0.32,0.21
49,"Sandycity",0.03,0.09,0.47
13,"Romecity",0.61,0.64,0.27
37,"Hickorycity",0.39,0.48,0.37
13,"Dublincity",0.63,0.65,0.26
53,"Aberdeencity",0.31,0.46,0.18
55,"Beloitcity",0.28,0.48,0.16
6,"MontereyParkcity",0.56,0.52,0.35
55,"Marshfieldcity",0.47,0.39,0.31
47,"Shelbyvillecity",0.86,0.79,0.14
12,"Edgewatercity",0.27,0.49,0.11
6,"Temeculacity",0.14,0.19,0.34
21,"Paducahcity",0.5,0.54,0.22
48,"Eulesscity",0.13,0.22,0.41
36,"Yorktowntown",0.15,0.18,0.58
48,"Austincity",0.27,0.29,0.56
53,"Richlandcity",0.1,0.14,0.56
39,"Fairborncity",0.28,0.38,0.33
47,"Morristowncity",0.83,0.76,0.16
34,"Pennsvilletownship",0.3,0.41,0.14
34,"Oaklandborough",0.18,0.18,0.59
28,"Vicksburgcity",0.55,0.66,0.25
25,"Sudburytown",0.04,0.04,1
34,"Waynetownship",0.2,0.23,0.58
53,"Pascocity",0.85,0.75,0.12
35,"Demingcity",0.88,0.79,0.16
