"state","communityname","PctLess9thGrade","PctNotHSGrad","PctBSorMore"
9,"Norwalktown",0.27,0.34,0.47
39,"Middletowncity",0.35,0.49,0.19
25,"Ludlowtown",0.54,0.58,0.17
6,"SanBernardinocity",0.43,0.56,0.19
25,"Woburncity",0.14,0.22,0.38
5,"Jonesborocity",0.45,0.46,0.33
34,"Nutleytownship",0.27,0.34,0.45
55,"RiverFallscity",0.27,0.19,0.49
40,"MidwestCitycity",0.17,0.29,0.26
47,"Knoxvillecity",0.43,0.51,0.34
39,"Loraincity",0.39,0.57,0.1
41,"Beavertoncity",0.09,0.12,0.58
48,"Freeportcity",0.74,0.74,0.08
23,"PresqueIslecity",0.44,0.42,0.25
40,"Moorecity",0.14,0.29,0.21
55,"Kenoshacity",0.31,0.46,0.18
39,"Chillicothecity",0.37,0.53,0.21
6,"SantaRosacity",0.17,0.23,0.43
40,"Bartlesvillecity",0.21,0.29,0.51
42,"WestWhitelandtownship",0.07,0.08,0.72
34,"Bellevilletownship",0.37,0.5,0.26
5,"Russellvillecity",0.39,0.47,0.32
8,"Brightoncity",0.42,0.51,0.19
19,"Spencercity",0.21,0.24,0.25
12,"PembrokePinescity",0.17,0.3,0.33
25,"Leominstercity",0.36,0.42,0.3
39,"Columbuscity",0.19,0.36,0.39
5,"Stuttgartcity",0.63,0.61,0.19
36,"Auburncity",0.36,0.55,0.17
35,"Albuquerquecity",0.2,0.26,0.46
13,"Americuscity",0.6,0.67,0.27
36,"Fultoncity",0.3,0.49,0.18
6,"PicoRiveracity",0.76,0.85,0.08
44,"Warrentown",0.49,0.53,0.23
34,"Westwoodborough",0.25,0.28,0.47
8,"Lovelandcity",0.21,0.26,0.29
39,"Toledocity",0.29,0.46,0.21
6,"MorganHillcity",0.2,0.27,0.45
42,"Nanticokecity",0.58,0.68,0.14
45,"Hanahancity",0.24,0.34,0.24
55,"WestBendcity",0.34,0.33,0.25
34,"Burlingtontownship",0.3,0.37,0.23
34,"Lyndhursttownship",0.42,0.52,0.23
37,"NewBerncity",0.45,0.52,0.24
42,"Bensalemtownship",0.16,0.34,0.34
6,"Cypresscity",0.11,0.19,0.42
42,"Lancastertownship",0.35,0.36,0.45
25,"Cantontown",0.11,0.15,0.53
34,"UnionCitycity",0.98,0.88,0.15
6,"SantaFeSpringscity",0.49,0.72,0.09
34,"SouthRiverborough",0.7,0.62,0.19
18,"Merrillvilletown",0.26,0.33,0.23
19,"WestDesMoinescity",0.04,0.06,0.68
36,"Cohoescity",0.53,0.59,0.14
19,"Urbandalecity",0.02,0.04,0.61
41,"ForestGrovecity",0.34,0.41,0.32
6,"Carsoncity",0.44,0.5,0.26
9,"Stamfordtown",0.24,0.31,0.57
34,"EastWindsortownship",0.1,0.13,0.74
37,"Kinstoncity",0.66,0.68,0.23
23,"Sanfordtown",0.44,0.47,0.17
20,"Wichitacity",0.19,0.3,0.36
6,"Montereycity",0.16,0.17,0.65
6,"Belmontcity",0.07,0.12,0.6
34,"AsburyParkcity",0.38,0.54,0.2
18,"Plainfieldtown",0.11,0.25,0.29
34,"WestOrangetownship",0.22,0.27,0.61
1,"Florencecity",0.47,0.52,0.36
6,"LosAngelescity",0.63,0.58,0.36
38,"Minotcity",0.34,0.31,0.33
47,"Clevelandcity",0.64,0.59,0.26
6,"Lakewoodcity",0.18,0.31,0.27
48,"CorpusChristicity",0.52,0.5,0.27
48,"Denisoncity",0.46,0.58,0.16
6,"DiamondBarcity",0.08,0.14,0.6
12,"PalmBeachGardenscity",0.08,0.13,0.62
44,"Cranstoncity",0.29,0.45,0.33
36,"Ithacacity",0.16,0.21,0.82
42,"Whitehalltownship",0.29,0.45,0.25
39,"UniversityHeightscity",0.11,0.13,0.77
42,"LowerAllentownship",0.17,0.28,0.38
25,"Readingtown",0.08,0.11,0.6
18,"Lafayettecity",0.23,0.32,0.34
9,"Ansoniatown",0.38,0.47,0.18
34,"Barnegattownship",0.2,0.35,0.18
34,"CedarGrovetownship",0.23,0.27,0.5
29,"Hannibalcity",0.44,0.55,0.21
36,"Gloversvillecity",0.38,0.59,0.16
34,"CherryHilltownship",0.13,0.19,0.67
9,"Seymourtown",0.3,0.35,0.29
13,"Albanycity",0.48,0.59,0.28
48,"Mercedescity",1,1,0.1
42,"UpperDarbytownship",0.21,0.33,0.34
56,"Laramiecity",0.12,0.15,0.66
40,"Okmulgeecity",0.4,0.54,0.13
42,"Harrisburgcity",0.35,0.57,0.21
47,"Germantowncity",0.01,0.01,0.88
34,"Middlesexborough",0.28,0.36,0.31
9,"NorthHaventown",0.2,0.29,0.42
39,"Massilloncity",0.32,0.53,0.11
36,"WhitePlainscity",0.27,0.33,0.61
25,"Haverhillcity",0.29,0.37,0.33
18,"Elkhartcity",0.29,0.49,0.2
1,"Troycity",0.54,0.57,0.36
36,"NewYorkcity",0.48,0.55,0.36
6,"Monroviacity",0.32,0.38,0.31
36,"Corningcity",0.27,0.36,0.33
6,"PaloAltocity",0.06,0.06,1
12,"Sanfordcity",0.32,0.5,0.18
21,"Erlangercity",0.18,0.29,0.25
54,"Bluefieldcity",0.42,0.51,0.27
18,"Portagecity",0.27,0.44,0.13
36,"Lackawannacity",0.49,0.6,0.14
42,"LowerMakefieldtownship",0.03,0.07,0.88
6,"Uplandcity",0.19,0.26,0.4
42,"Williamsportcity",0.28,0.48,0.19
29,"Independencecity",0.23,0.36,0.21
25,"Salemcity",0.28,0.37,0.39
6,"RedBluffcity",0.29,0.36,0.15
36,"GlensFallscity",0.22,0.35,0.32
39,"Tallmadgecity",0.18,0.28,0.32
46,"RapidCitycity",0.22,0.24,0.37
45,"Gaffneycity",0.74,0.72,0.18
6,"RanchoPalosVerdescity",0.05,0.05,0.88
13,"Carrolltoncity",0.6,0.63,0.32
55,"EauClairecity",0.25,0.24,0.38
33,"Milfordtown",0.18,0.26,0.38
25,"Beverlycity",0.13,0.2,0.45
6,"Mercedcity",0.59,0.54,0.24
56,"Cheyennecity",0.18,0.25,0.35
34,"Staffordtownship",0.26,0.48,0.18
23,"Brunswicktown",0.19,0.27,0.42
48,"Kerrvillecity",0.43,0.46,0.32
55,"Glendalecity",0.32,0.28,0.57
18,"Garycity",0.4,0.62,0.12
34,"Trentoncity",0.57,0.74,0.15
51,"Waynesborocity",0.48,0.5,0.28
28,"MossPointcity",0.46,0.62,0.15
21,"Glasgowcity",1,0.83,0.15
41,"Tigardcity",0.09,0.13,0.48
48,"Weslacocity",1,0.86,0.18
25,"Brocktoncity",0.26,0.44,0.19
12,"BocaRatoncity",0.12,0.18,0.56
46,"SiouxFallscity",0.27,0.27,0.36
6,"Dinubacity",1,0.91,0.12
9,"Hartfordtown",0.62,0.72,0.22
1,"Saralandcity",0.32,0.46,0.13
49,"Bountifulcity",0.05,0.12,0.49
25,"Sharontown",0.06,0.08,0.84
12,"Ocoeecity",0.37,0.5,0.13
48,"Donnacity",1,1,0.12
34,"RiverEdgeborough",0.18,0.22,0.64
6,"Stantoncity",0.47,0.51,0.21
1,"Hartsellecity",0.48,0.51,0.21
51,"Radfordcity",0.41,0.42,0.47
6,"Breacity",0.15,0.2,0.5
9,"SouthWindsortown",0.12,0.18,0.51
42,"Yorktownship",0.29,0.33,0.36
50,"Rutlandcity",0.29,0.38,0.3
25,"Norwoodtown",0.15,0.22,0.43
47,"Athenscity",0.79,0.71,0.27
6,"Saratogacity",0.05,0.05,0.96
6,"Arcadiacity",0.16,0.17,0.59
18,"Huntingtoncity",0.24,0.44,0.18
48,"SanBenitocity",1,0.96,0.13
29,"Ballwincity",0.09,0.14,0.59
37,"Raleighcity",0.16,0.21,0.66
48,"FortWorthcity",0.42,0.49,0.34
41,"GrantsPasscity",0.26,0.41,0.21
6,"RedondoBeachcity",0.09,0.14,0.66
1,"Hueytowncity",0.27,0.42,0.13
13,"Atlantacity",0.37,0.52,0.42
6,"Bellcity",1,1,0.04
25,"Bostoncity",0.35,0.41,0.48
6,"YubaCitycity",0.38,0.44,0.25
34,"Mantuatownship",0.19,0.38,0.28
49,"WestJordancity",0.09,0.22,0.24
44,"CentralFallscity",0.85,0.95,0.07
51,"Roanokecity",0.47,0.56,0.24
39,"Youngstowncity",0.36,0.6,0.11
47,"Chattanoogacity",0.44,0.54,0.28
27,"Hopkinscity",0.17,0.2,0.41
12,"Daniacity",0.47,0.7,0.17
55,"NewBerlincity",0.11,0.14,0.46
39,"WarrensvilleHeightscity",0.19,0.39,0.18
6,"ElCajoncity",0.23,0.36,0.22
42,"Philadelphiacity",0.39,0.63,0.23
12,"Rockledgecity",0.13,0.23,0.33
53,"Bremertoncity",0.22,0.3,0.19
34,"Freeholdtownship",0.18,0.23,0.55
4,"Prescottcity",0.18,0.27,0.37
6,"HuntingtonParkcity",1,1,0.06
53,"Yakimacity",0.48,0.5,0.25
6,"Cupertinocity",0.06,0.06,0.86
39,"Masoncity",0.18,0.26,0.32
51,"Portsmouthcity",0.43,0.58,0.17
6,"NationalCitycity",0.73,0.73,0.13
13,"Augustacity",0.72,0.76,0.27
47,"Gallatincity",0.59,0.63,0.17
48,"Dallascity",0.42,0.46,0.43
34,"Bridgewatertownship",0.16,0.17,0.67
39,"Marioncity",0.33,0.53,0.13
48,"Pasadenacity",0.43,0.52,0.16
6,"BellGardenscity",1,1,0
6,"Coltoncity",0.42,0.51,0.2
41,"Albanycity",0.2,0.31,0.18
41,"Hermistoncity",0.38,0.48,0.17
23,"Gorhamtown",0.13,0.22,0.41
6,"NewportBeachcity",0.03,0.05,0.83
51,"Charlottesvilledistrict",0.15,0.17,0.72
39,"Alliancecity",0.31,0.49,0.18
40,"McAlestercity",0.46,0.61,0.17
12,"WinterParkcity",0.14,0.18,0.71
42,"Lansdowneborough",0.11,0.19,0.48
21,"FortThomascity",0.16,0.23,0.48
39,"Springfieldcity",0.33,0.55,0.16
27,"CottageGrovecity",0.05,0.1,0.3
48,"Georgetowncity",0.44,0.46,0.37
21,"Somersetcity",1,0.77,0.23
9,"Bloomfieldtown",0.24,0.31,0.5
6,"Covinacity",0.18,0.29,0.25
29,"BlueSpringscity",0.08,0.15,0.38
48,"Pampacity",0.4,0.51,0.19
34,"Oceantownship",0.13,0.22,0.56
33,"Portsmouthcity",0.12,0.17,0.42
41,"LakeOswegocity",0.03,0.03,0.89
6,"PacificGrovecity",0.12,0.16,0.58
6,"Lawndalecity",0.47,0.53,0.19
42,"Carlisleborough",0.35,0.42,0.44
42,"Radnortownship",0.08,0.09,0.96
6,"Comptoncity",0.88,0.87,0.08
13,"Maconcity",0.54,0.63,0.23
39,"Norwalkcity",0.3,0.45,0.17
6,"Downeycity",0.31,0.4,0.25
48,"Grovescity",0.21,0.32,0.18
12,"MiamiShoresvillage",0.17,0.24,0.6
22,"Gretnacity",0.62,0.7,0.11
39,"Norwoodcity",0.46,0.67,0.11
12,"RoyalPalmBeachvillage",0.16,0.25,0.33
37,"Lumbertoncity",0.61,0.68,0.29
42,"Swissvaleborough",0.31,0.37,0.33
33,"Durhamtown",0.02,0.01,1
23,"Portlandcity",0.23,0.27,0.48
48,"Planocity",0.08,0.09,0.76
51,"Alexandriacity",0.2,0.21,0.8
25,"Amesburytown",0.29,0.34,0.34
37,"Shelbycity",0.58,0.69,0.24
28,"Tupelocity",0.27,0.41,0.34
6,"Danvillecity",0.03,0.04,0.79
24,"Greenbeltcity",0.08,0.12,0.73
38,"Dickinsoncity",0.61,0.43,0.26
44,"Warwickcity",0.2,0.37,0.33
39,"Nortoncity",0.22,0.39,0.21
50,"SouthBurlingtoncity",0.1,0.13,0.64
48,"DelRiocity",1,0.84,0.16
6,"Dublincity",0.06,0.22,0.38
21,"Owensborocity",0.44,0.49,0.23
55,"StevensPointcity",0.39,0.33,0.38
25,"Maynardtown",0.14,0.22,0.46
53,"Kennewickcity",0.2,0.29,0.31
39,"Wickliffecity",0.23,0.4,0.17
37,"Carrborotown",0.11,0.17,0.94
6,"Duartecity",0.41,0.46,0.35
19,"Bettendorfcity",0.09,0.15,0.55
48,"SanMarcoscity",0.7,0.56,0.44
41,"Bendcity",0.13,0.23,0.36
34,"Delrantownship",0.16,0.3,0.36
6,"GroverCitycity",0.27,0.39,0.23
9,"Plainvilletown",0.28,0.41,0.26
34,"Waterfordtownship",0.24,0.34,0.23
48,"Bryancity",0.42,0.45,0.43
12,"NewSmyrnaBeachcity",0.2,0.35,0.28
47,"Cookevillecity",0.61,0.53,0.39
6,"Portervillecity",0.79,0.69,0.18
1,"Dothancity",0.4,0.51,0.3
34,"Branchburgtownship",0.13,0.15,0.7
21,"Hopkinsvillecity",0.55,0.53,0.2
36,"Oswegocity",0.3,0.46,0.31
29,"Sedaliacity",0.5,0.54,0.16
47,"RedBankcity",0.27,0.41,0.28
34,"EastOrangecity",0.34,0.53,0.22
36,"Schenectadycity",0.29,0.43,0.27
49,"Murraycity",0.06,0.26,0.32
47,"McMinnvillecity",0.85,0.81,0.14
6,"Alhambracity",0.5,0.48,0.36
47,"Jacksoncity",0.46,0.57,0.26
34,"Phillipsburgtown",0.43,0.59,0.12
5,"PineBluffcity",0.5,0.6,0.25
34,"Parsippany-TroyHillstownship",0.18,0.23,0.54
37,"Garnertown",0.23,0.24,0.37
25,"Cambridgecity",0.24,0.25,0.89
44,"Johnstontown",0.37,0.58,0.2
1,"VestaviaHillscity",0.04,0.06,0.88
34,"Clarktownship",0.26,0.32,0.37
34,"Hackensackcity",0.35,0.44,0.41
13,"LaGrangecity",0.7,0.75,0.25
55,"Greendalevillage",0.11,0.16,0.47
12,"Plantationcity",0.13,0.19,0.51
41,"Roseburgcity",0.24,0.4,0.24
12,"PalmBaycity",0.17,0.29,0.26
55,"Onalaskacity",0.19,0.22,0.43
41,"CoosBaycity",0.26,0.39,0.21
42,"Hazletoncity",0.41,0.49,0.15
2,"Juneaucity",0.11,0.15,0.49
42,"Warringtontownship",0.07,0.15,0.43
34,"Neptunetownship",0.26,0.37,0.32
34,"WestDeptfordtownship",0.18,0.34,0.28
22,"Jenningscity",0.75,0.73,0.14
48,"Corsicanacity",0.57,0.63,0.24
53,"Laceycity",0.11,0.18,0.38
41,"Milwaukiecity",0.14,0.24,0.27
29,"JeffersonCitycity",0.35,0.37,0.44
8,"ColoradoSpringsdivision",0.12,0.19,0.43
16,"Rexburgcity",0.16,0.18,0.31
12,"Palatkacity",0.6,0.72,0.12
6,"BuenaParkcity",0.27,0.4,0.24
53,"Olympiacity",0.11,0.17,0.54
54,"Weirtoncity",0.43,0.45,0.17
40,"Tahlequahcity",0.46,0.42,0.47
34,"Edisontownship",0.18,0.25,0.55
34,"MapleShadetownship",0.26,0.45,0.24
25,"Ipswichtown",0.15,0.21,0.54
44,"NorthSmithfieldtown",0.43,0.49,0.33
13,"Statesborocity",0.47,0.53,0.43
42,"Moontownship",0.12,0.15,0.47
28,"Hattiesburgcity",0.38,0.45,0.43
29,"Marshallcity",0.59,0.59,0.23
48,"LeagueCitycity",0.12,0.16,0.52
25,"Scituatetown",0.06,0.09,0.65
25,"Concordtown",0.09,0.1,0.92
6,"Rocklincity",0.09,0.16,0.42
12,"CocoaBeachcity",0.09,0.14,0.56
42,"Wilkinsburgborough",0.18,0.32,0.36
6,"Turlockcity",0.55,0.53,0.26
12,"PortOrangecity",0.18,0.34,0.23
9,"Newingtontown",0.3,0.33,0.4
44,"Tivertontown",0.46,0.51,0.3
42,"Shalertownship",0.2,0.29,0.33
12,"NorthPalmBeachvillage",0.06,0.15,0.5
6,"Atwatercity",0.36,0.39,0.21
39,"Steubenvillecity",0.43,0.54,0.2
6,"SanClementecity",0.11,0.14,0.52
9,"Greenwichtown",0.15,0.17,0.8
42,"Warwicktownship",0.3,0.38,0.3
48,"Mesquitecity",0.18,0.31,0.28
6,"SanPablocity",0.48,0.6,0.17
6,"Newarkcity",0.27,0.36,0.33
18,"Hammondcity",0.35,0.53,0.13
12,"PinellasParkcity",0.26,0.45,0.16
6,"Salinascity",0.81,0.66,0.19
37,"Lenoircity",0.64,0.74,0.17
35,"Farmingtoncity",0.19,0.34,0.28
39,"GroveCitycity",0.16,0.31,0.23
6,"LosAltoscity",0.03,0.04,0.98
6,"Daviscity",0.07,0.05,1
9,"Coventrytown",0.13,0.21,0.44
42,"OilCitycity",0.26,0.39,0.21
39,"Perrysburgcity",0.09,0.14,0.65
48,"Harlingencity",0.93,0.72,0.22
24,"Cambridgecity",0.66,0.69,0.14
4,"Flagstaffcity",0.16,0.2,0.53
37,"Wilsoncity",0.58,0.65,0.28
39,"Limacity",0.31,0.53,0.11
48,"Alicecity",0.83,0.74,0.15
42,"Bethlehemcity",0.3,0.43,0.32
4,"Douglascity",1,0.93,0.13
37,"Asheborocity",0.57,0.6,0.23
18,"Hobartcity",0.2,0.36,0.17
48,"EaglePasscity",1,1,0.12
5,"VanBurencity",0.57,0.62,0.14
45,"RockHillcity",0.57,0.65,0.27
12,"Sarasotacity",0.26,0.4,0.33
48,"Irvingcity",0.25,0.32,0.42
12,"Gainesvillecity",0.17,0.24,0.66
12,"LauderdaleLakescity",0.39,0.56,0.14
6,"Tularecity",0.65,0.69,0.11
48,"Kellercity",0.11,0.15,0.48
48,"FlowerMoundtown",0.03,0.08,0.58
13,"Mariettacity",0.24,0.31,0.45
48,"Benbrookcity",0.06,0.12,0.57
1,"Eufaulacity",0.59,0.66,0.24
37,"ChapelHilltown",0.11,0.09,1
39,"Miamisburgcity",0.32,0.39,0.23
21,"Murraycity",0.45,0.42,0.43
6,"Paradisetown",0.22,0.38,0.23
45,"Simpsonvilletown",0.27,0.36,0.34
6,"Pleasantoncity",0.05,0.09,0.6
40,"Muskogeecity",0.39,0.54,0.24
18,"Clarksvilletown",0.33,0.43,0.14
6,"Whittiercity",0.26,0.34,0.33
6,"WestCovinacity",0.22,0.32,0.32
42,"Whitehallborough",0.14,0.21,0.47
18,"Munstertown",0.17,0.19,0.54
6,"Rosevillecity",0.14,0.2,0.38
25,"Brooklinetown",0.1,0.09,1
42,"Towamencintownship",0.12,0.19,0.59
13,"Snellvillecity",0.11,0.19,0.34
46,"Brookingscity",0.34,0.25,0.56
5,"Conwaycity",0.39,0.4,0.44
1,"Madisoncity",0.08,0.1,0.8
47,"Millingtoncity",0.15,0.21,0.14
9,"Norwichtown",0.44,0.49,0.25
48,"SulphurSpringscity",0.45,0.64,0.18
24,"Hagerstowncity",0.46,0.61,0.14
55,"MountPleasanttown",0.26,0.34,0.33
18,"CrownPointcity",0.22,0.28,0.33
36,"SaratogaSpringscity",0.24,0.27,0.5
44,"Narragansetttown",0.11,0.2,0.6
6,"MissionViejocity",0.04,0.08,0.64
33,"Derrytown",0.13,0.22,0.4
6,"Haywardcity",0.31,0.4,0.26
34,"HighlandParkborough",0.2,0.25,0.8
55,"DePerecity",0.25,0.23,0.35
29,"KansasCitycity",0.24,0.36,0.35
34,"Holmdeltownship",0.19,0.19,0.77
21,"Independencecity",0.27,0.39,0.2
42,"Cumrutownship",0.25,0.37,0.38
36,"LongBeachcity",0.22,0.28,0.46
49,"Logancity",0.1,0.14,0.6
8,"Louisvillecity",0.09,0.1,0.7
9,"WestHartfordtown",0.2,0.2,0.76
1,"Tuskegeecity",0.47,0.48,0.44
16,"Pocatellocity",0.16,0.28,0.35
4,"Scottsdalecity",0.09,0.13,0.56
12,"Stuartcity",0.28,0.38,0.26
34,"Bernardstownship",0.11,0.09,0.9
25,"Northbridgetown",0.36,0.46,0.25
34,"Bloomfieldtownship",0.29,0.37,0.4
48,"Sweetwatercity",0.68,0.73,0.16
18,"Crawfordsvillecity",0.23,0.4,0.2
6,"SanRafaelcity",0.2,0.17,0.62
40,"ElkCitycity",0.45,0.58,0.19
54,"Fairmontcity",0.36,0.44,0.25
6,"Pacificacity",0.11,0.21,0.36
44,"Smithfieldtown",0.23,0.32,0.4
6,"Barstowcity",0.3,0.42,0.15
6,"LosGatostown",0.07,0.08,0.79
34,"SouthPlainfieldborough",0.25,0.32,0.29
55,"Middletoncity",0.12,0.1,0.69
25,"NorthAndovertown",0.13,0.15,0.66
48,"FarmersBranchcity",0.3,0.34,0.4
25,"Bedfordtown",0.06,0.09,0.7
16,"TwinFallscity",0.27,0.4,0.2
39,"Hilliardcity",0.14,0.31,0.34
36,"Oleancity",0.24,0.37,0.28
48,"Alvincity",0.37,0.45,0.2
1,"Homewoodcity",0.09,0.14,0.69
34,"Morristownship",0.13,0.13,0.87
34,"Pembertontownship",0.26,0.4,0.12
39,"Cincinnaticity",0.35,0.53,0.35
6,"Walnutcity",0.16,0.19,0.57
37,"Greenvillecity",0.32,0.35,0.55
48,"CopperasCovecity",0.13,0.19,0.21
6,"Coronadocity",0.07,0.07,0.64
25,"Uxbridgetown",0.33,0.4,0.31
18,"Connersvillecity",0.58,0.68,0.11
45,"Orangeburgcity",0.45,0.5,0.37
12,"SouthMiamicity",0.24,0.35,0.5
34,"Harrisontown",0.76,0.76,0.23
1,"Prichardcity",0.6,0.82,0.06
39,"Goshentownship",0.43,0.65,0.09
6,"WestHollywoodcity",0.2,0.24,0.61
42,"NewCastlecity",0.41,0.56,0.12
13,"Columbuscity",0.39,0.49,0.25
21,"Shivelycity",0.51,0.61,0.09
1,"Tuscaloosacity",0.39,0.48,0.44
19,"Indianolacity",0.2,0.23,0.34
9,"Berlintown",0.22,0.29,0.36
42,"Peterstownship",0.11,0.11,0.63
48,"LaPortecity",0.22,0.3,0.22
48,"Beaumontcity",0.34,0.42,0.31
4,"Gilberttown",0.1,0.13,0.47
12,"Casselberrycity",0.17,0.29,0.27
13,"Cartersvillecity",0.68,0.69,0.21
39,"Clevelandcity",0.43,0.73,0.11
25,"Northboroughtown",0.08,0.15,0.69
18,"Bedfordcity",0.36,0.53,0.16
34,"Plainfieldcity",0.37,0.49,0.29
34,"Uniontownship",0.36,0.43,0.34
25,"Holbrooktown",0.17,0.28,0.25
13,"CollegeParkcity",0.31,0.43,0.26
22,"Westwegocity",0.99,0.88,0.04
44,"Providencecity",0.57,0.66,0.34
23,"Augustacity",0.49,0.44,0.25
41,"OregonCitycity",0.21,0.32,0.19
23,"Watervillecity",0.42,0.44,0.35
21,"Winchestercity",0.67,0.66,0.17
39,"Jacksontownship",0.19,0.34,0.21
44,"NorthProvidencetown",0.35,0.51,0.32
42,"SouthWhitehalltownship",0.3,0.34,0.51
6,"UnionCitycity",0.32,0.38,0.32
34,"Veronatownship",0.09,0.16,0.69
25,"Hinghamtown",0.04,0.07,0.79
46,"Mitchellcity",0.49,0.42,0.23
39,"Urbanacity",0.27,0.45,0.18
13,"Valdostacity",0.39,0.53,0.33
37,"Grahamcity",0.45,0.59,0.19
55,"Marinettecity",0.33,0.42,0.18
34,"Princetonborough",0.24,0.18,1
